Bandleader,Orchestra,Date,Title,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings
Carlos Di Sarli,Sexteto Di Sarli,12/31/1929,Campaneando,Tango,Santiago Devin,Víctor,78rpm,Mauricio Saiovich; Alejandro Barrio,Alejandro Barrio,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Roberto Guisado,  Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,12/31/1929,No Te Aguanto Más,Tango,Instrumental,Víctor,78rpm,Adolfo Mondino,Ray Rada,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Roberto Guisado,  Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,12/31/1929,Qué Reo Sos,Tango,Santiago Devin,Víctor,78rpm,Juan Collazo,Roberto Fontaina; Víctor Soliño,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Roberto Guisado,  Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,12/31/1929,Quién Te Ve,Tango,Santiago Devin,Víctor,78rpm,Juan Rodríguez,Enrique Cadícamo,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Roberto Guisado,  Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,1/24/1930,Algo Bueno,Tango,Instrumental,Víctor,78rpm,Alfonso Gagliano; Pedro Gagliano,Carlos Bahr,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Roberto Guisado,  Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,1/24/1930,Cicatrices,Tango,Santiago Devin,Víctor,78rpm,Adolfo Avilés,Enrique Maroni,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Roberto Guisado,  Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,3/17/1930,El Cantar De Aquel Malevo,Tango,Santiago Devin,Víctor,78rpm,Rodolfo Sciammarella,Andrés Pulido,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Roberto Guisado,  Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,3/17/1930,Rosamel,Vals,Santiago Devin,Víctor,78rpm,Carlos Di Sarli,A. Oro,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Roberto Guisado,  Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,5/8/1930,Criollo Viejo,Tango,Instrumental,Víctor,78rpm,Vicente Greco,,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Roberto Guisado,  Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,5/8/1930,Sábado,Tango,Instrumental,Víctor,78rpm,Udelino Toranzo,,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Roberto Guisado,  Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,6/3/1930,No Cantés Victoria,Tango,Instrumental,Víctor,78rpm,Arturo Bettoni,Alberto Munilla,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Roberto Guisado,  Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,6/3/1930,Racing Club,Tango,Instrumental,Víctor,78rpm,Vicente Greco,Ernesto Temes,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Roberto Guisado,  Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,6/16/1930,Don José María,Tango,Instrumental,Víctor,78rpm,Anselmo Mendizábal,Carlos Waiss; Ernesto Temes,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Roberto Guisado,  Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,6/16/1930,Palito,Tango,Instrumental,Víctor,78rpm,Elio Rietti,Manuel Meaños,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Roberto Guisado,  Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,9/3/1930,Chau Pinela,Tango,Ernesto Famá,Víctor,78rpm,Humberto Castiglioni,Humberto Castiglioni,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Roberto Guisado,  Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,9/3/1930,Por La Pinta,Tango,Ernesto Famá,Víctor,78rpm,Fernando Franco,José Grandis,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Roberto Guisado,  Héctor Lefalle"
