Bandleader,Orchestra,Date,Title,Genre,Singer,Label,Medium,Composer, Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,8/28/1942,Catorce Primaveras,Tango,Jorge Ortiz,Odeon,78rpm,Eduardo Conte,Julio Navarrine,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,8/28/1942,Oyendo Tu Voz,Tango,Jorge Ortiz,Odeon,78rpm,Marcos Larrosa,Julio Nelson,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,9/10/1942,La Cumparsita,Tango,Instrumental,Odeon,78rpm,Gerardo Rodríguez,,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,9/10/1942,Indiferencia,Tango,Jorge Ortiz,Odeon,78rpm,Rodolfo Biagi,Juan Thorry,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,10/29/1942,Si De Mí Te Has Olvidado,Tango,Jorge Ortiz,Odeon,78rpm,Osvaldo Fresedo,José Contursi,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,1/15/1943,¡Señor! ¡Señor!,Tango,Jorge Ortiz,Odeon,78rpm,Ángel Welles,Venancio Clauso,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,1/15/1943,Pueblito De Provincia,Tango,Jorge Ortiz,Odeon,78rpm,Héctor Stamponi,Homero Expósito,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,3/3/1943,Arlette,Tango,Alberto Amor,Odeon,78rpm,Antonio Bonavena,Horacio Sanguinetti,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,3/3/1943,Por Algo Será,Tango,Alberto Amor,Odeon,78rpm,Carlos Elli,Carlos Rivero; Otello Elli,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,3/3/1943,Yo Tengo Un Puñal,Tango,Carlos Acuña,Odeon,78rpm,Luis Moresco,José Terragno,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,3/3/1943,A La Luz Del Candil,Tango,Carlos Acuña,Odeon,78rpm,Carlos Flores,Julio Navarrine,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,4/29/1943,Barrio Reo,Tango,Carlos Acuña,Odeon,78rpm,Roberto Fugazot,Alfredo Navarrine,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,4/29/1943,Canción De Rango,Tango,Carlos Acuña,Odeon,78rpm,Raúl Kaplún,José Suñé,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,7/8/1943,Tres Horas,Tango,Alberto Amor,Odeon,78rpm,Héctor Varela,Alberto Nery,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,7/8/1943,Soy Del 90 ,Milonga,Carlos Acuña,Odeon,78rpm,Tito Ribero,Carlos Waiss,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,8/24/1943,Adiós Te Vas,Tango,Carlos Acuña,Odeon,78rpm,Egidio Pittaluga,Cátulo Castillo,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,8/24/1943,Prisionero,Vals,Alberto Amor,Odeon,78rpm,Julio Carresons,Carlos Bahr,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,12/7/1943,Si La Llegaran A Ver,Tango,Alberto Amor,Odeon,78rpm,Juan D'Arienzo,Enrique Cadícamo,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,12/7/1943,Lonjazos,Tango,Carlos Acuña,Odeon,78rpm,Andrés Domenech,Jesús Blanco,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,4/11/1944,Uno,Tango,Carlos Acuña,Odeon,78rpm,Mariano Mores,Enrique Discépolo,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,4/11/1944,Sueño De Juventud,Vals,Carlos Acuña,Odeon,78rpm,Enrique Discépolo,Enrique Discépolo,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,4/11/1944,Lisón,Tango,Alberto Amor,Odeon,78rpm,José Ranieri,Julián Centeya,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,5/9/1944,Nada,Tango,Alberto Amor,Odeon,78rpm,José Dames,Horacio Sanguinetti,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,5/9/1944,Tu Voz,Tango,Carlos Acuña,Odeon,78rpm,Juan Migliore,Ricardo Duggan,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,5/30/1944,Sosiego En La Noche,Tango,Carlos Acuña,Odeon,78rpm,Roberto Garza,Carlos Bahr,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,8/11/1944,Como El Hornero,Tango,Alberto Amor,Odeon,78rpm,Manuel Sucher,José Rótulo,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,8/11/1944,A Suerte Y Verdad,Tango,Carlos Acuña,Odeon,78rpm,Carlos Parodi,Carlos Waiss,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,9/15/1944,Seamos Amigos,Tango,Alberto Amor,Odeon,78rpm,Domingo Rullo; Príncipe Cubano,Domingo Rullo; Príncipe Cubano,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,9/15/1944,Viento Malo,Tango,Alberto Amor,Odeon,78rpm,Miguel Nijensohn; José Nieso,José Suñé,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,1/24/1945,Magdala,Tango,Jorge Ortiz,Odeon,78rpm,Rodolfo Biagi,Francisco Gorrindo,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,1/24/1945,Yuyo Verde (Callejón),Tango,Jorge Ortiz,Odeon,78rpm,Domingo Federico,Homero Expósito,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,2/6/1945,"Copas, Amigas Y Besos",Tango,Jorge Ortiz,Odeon,78rpm,Mariano Mores,Enrique Cadícamo,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,2/6/1945,Paloma,Vals,Alberto Amor,Odeon,78rpm,Juan Guichandut,Horacio Sanguinetti,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,4/24/1945,Equipaje,Tango,Jorge Ortiz,Odeon,78rpm,Héctor Artola,Carlos Bahr,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,4/25/1945,Trenzas,Tango,Jorge Ortiz,Odeon,78rpm,Armando Pontier,Homero Expósito,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,5/25/1945,Me Quedé Mirándola,Tango,Alberto Amor,Odeon,78rpm,Vicente Spina,Roberto Miró,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,5/25/1945,Tu Melodía (Take 2),Vals,Jorge Ortiz,Odeon,78rpm,Alberto Villanueva,Oscar Rubens,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,6/15/1945,Cuando Se Ha Querido Mucho,Tango,Jorge Ortiz,Odeon,78rpm,Federico Leone,Enrique Dizeo,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,6/15/1945,Café De Los Angelitos,Tango,Alberto Amor,Odeon,78rpm,José Castillo,José Castillo,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,9/6/1945,Mis Amores De Ayer,Tango,Alberto Amor,Odeon,78rpm,Oscar Rocha,Horacio Sanguinetti,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,9/6/1945,Soledad La De Barracas,Tango,Jorge Ortiz,Odeon,78rpm,Roberto Garza,Carlos Bahr,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,10/15/1945,Anselmo Laguna,Tango,Alberto Amor,Odeon,78rpm,Vicente Salerno,Elizardo Vilas,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,10/15/1945,Tus Labios Me Dirán,Tango,Alberto Amor,Odeon,78rpm,Emilio Brameri,Héctor Marcó,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,11/30/1945,Hoy Te Quiero Mucho Más,Tango,Alberto Amor,Odeon,78rpm,Carlos Lazzari,Horacio Sanguinetti,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,11/30/1945,Flor De Monserrat ,Milonga,Alberto Amor,Odeon,78rpm,Juan Santini,Vicente Campo,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,1/18/1946,Pudo Ser Una Vida,Tango,Alberto Amor,Odeon,78rpm,Elías Randal,Carlos Bahr,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,1/18/1946,Aroma De Amor,Vals,Alberto Amor,Odeon,78rpm,Román Juri,Carlos Waiss,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,1/31/1946,"Adiós, Pampa Mía",Tango,Alberto Amor,Odeon,78rpm,Francisco Canaro; Mariano Mores,Ivo Pelay,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,1/31/1946,Marol,Tango,Alberto Amor,Odeon,78rpm,Alberto Nery,Federico Silva,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,4/17/1946,Cuatro Lágrimas,Tango,Alberto Amor,Odeon,78rpm,Lito Bayardo,Lito Bayardo,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,4/17/1946,Levanta Tu Corazón,Tango,Alberto Amor,Odeon,78rpm,Venancio Clauso,Venancio Clauso,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,5/23/1946,Mientras Duerme La Ciudad,Tango,Carlos Saavedra,Odeon,78rpm,Alberto Villanueva,Oscar Rubens,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,5/23/1946,Camino Del Tucumán,Tango,Alberto Amor,Odeon,78rpm,José Castillo,José Razzano; Cátulo Castillo,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,6/18/1946,Gracias,Tango,Carlos Saavedra,Odeon,78rpm,Elías Randal,Carlos Bahr,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,6/18/1946,El Irresistible,Tango,Instrumental,Odeon,78rpm,Lorenzo Logatti,,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,7/10/1946,Con Mi Perro,Milonga,Alberto Amor,Odeon,78rpm,Aníbal Troilo,José Contursi,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,7/10/1946,Lucienne,Tango,Alberto Amor,Odeon,78rpm,Domingo Rullo,Jorge Fuentes,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,8/16/1946,La Huella,T+D:Fango,Instrumental,Odeon,78rpm,Manuel Villanueva,,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,8/16/1946,Por Eso Grito,Tango,Carlos Saavedra,Odeon,78rpm,Edgardo Donato,César Córdoba,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,11/22/1946,Sin Palabras,Tango,Carlos Saavedra,Odeon,78rpm,Mariano Mores,Enrique Discépolo,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,11/22/1946,Cuando Llora La Milonga,T+C:Fango,Alberto Amor,Odeon,78rpm,Juan Filiberto,Luis Mario,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,12/30/1946,Mañana Por La Mañana,Vals,Alberto Amor,Odeon,78rpm,Emilio Muñoz,Emilio Brameri; Juan Muñoz,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,12/30/1946,Esta Noche Me Emborracho,Tango,Carlos Saavedra,Odeon,78rpm,Enrique Discépolo,Enrique Discépolo,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,9/23/1947,Margot,Tango,Carlos Saavedra,Odeon,78rpm,Carlos Razzano,Celedonio Flores,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,9/23/1947,Y Dicen Que No Te Quiero,Tango,Alberto Amor,Odeon,78rpm,José Canet,José Canet,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,7/22/1948,La Viruta,Tango,Instrumental,Odeon,78rpm,Vicente Greco,,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,7/22/1948,Por La Güella,Milonga,Carlos Saavedra,Odeon,78rpm,Rodolfo Biagi,Homero Manzi,,"43-50 / Amor, Acuna, Ortiz, Saavedra ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,4/13/1950,A La Gran Muñeca,Tango,Instrumental,Odeon,78rpm,Jesús Ventura,Miguel Osés,,50-56 / Duval ,Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
