Bandleader,Orchestra,Date,Title,Genre,Singer,Label,Medium,Composer, Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,9/18/1939,El Rápido,Tango,Instrumental,Odeon,78rpm,Roberto Firpo,,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,9/18/1939,¡Cielo!,Tango,Andrés Falgás,Odeon,78rpm,Andrés Falgás,Mario Landi,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,9/22/1939,Son Cosas Del Bandoneón,Tango,Andrés Falgás,Odeon,78rpm,Enrique Rodríguez,Enrique Cadícamo,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,9/22/1939,Déjame Amarte Aunque Sea Un Día,Vals,Andrés Falgás,Odeon,78rpm,Ernestina Lecuona,Venancio Clauso,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,10/26/1939,Griseta,Tango,Andrés Falgás,Odeon,78rpm,Enrique Delfino,José Castillo,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,10/26/1939,Queja Indiana,Tango,Andrés Falgás,Odeon,78rpm,Juan Rodríguez,Juan Velich,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,3/14/1940,Deja El Mundo Como Está,Tango,Andrés Falgás,Odeon,78rpm,Rodolfo Biagi,Rodolfo Sciammarella,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,3/14/1940,La Chacarera,Tango,Andrés Falgás,Odeon,78rpm,Juan Servidio,Juan Caruso,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,3/27/1940,Cicatrices,Tango,Andrés Falgás,Odeon,78rpm,Adolfo Avilés,Enrique Maroni,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,3/27/1940,El Último Adiós,Vals,Andrés Falgás,Odeon,78rpm,Juan Santini,Nicolás Trimani,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,4/12/1940,El Estribo,Tango,Instrumental,Odeon,78rpm,Vicente Greco,,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,4/12/1940,A Mí No Me Interesa,Tango,Andrés Falgás,Odeon,78rpm,Marcos Larrosa,Alfredo Defilpo,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,6/19/1940,Todo Te Nombra,Tango,Jorge Ortiz,Odeon,78rpm,Francisco Canaro,Ivo Pelay,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,6/19/1940,El Yaguarón,Tango,Instrumental,Odeon,78rpm,Cipriano Nava,,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,6/28/1940,Cantando Se Van Las Penas,Milonga,Jorge Ortiz,Odeon,78rpm,Roberto Lurati,Roberto Lurati,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,6/28/1940,¡Pinta Orillera!,Tango,Jorge Ortiz,Odeon,78rpm,Antonio Arcieri,David Ortiz,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,7/16/1940,Quiero Verte Una Vez Más,Tango,Jorge Ortiz,Odeon,78rpm,Mario Canaro,José Contursi,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,7/16/1940,Guapo Y Varón,Tango,Jorge Ortiz,Odeon,78rpm,Enrique Delfino,Manuel Romero,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,10/4/1940,Callecita De Mi Barrio,Tango,Jorge Ortiz,Odeon,78rpm,Alberto Laporte; Otelo Gasparini,Enrique Maroni,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
