Bandleader,Orchestra,Date,Title,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneon,Strings
Alfredo De Angelis,Orquesta Alfredo De Angelis,10/11/1973,Melodía de arrabal,Tango,Carlos Gardel,Odeón,Tape-S,Carlos Gardel,Alfredo Le Pera; Mario Battistella,,"Rizzo 1st bando, Cinosi 1st violin (1968-77)",Alfredo De Angelis,Hugo Besnatti,"Osvaldo Rizzo, Alfredo Dafuncio, Carlos Cubría, Américo Pinelli ","Wenceslao Cinosi, Simón Broitman, Ángel Vilar, Germán Ojeda"
Alfredo De Angelis,Orquesta Alfredo De Angelis,10/25/1973,Esta noche me emborracho,Tango,Carlos Gardel,Odeón,Tape-S,Enrique Discépolo,Enrique Santos Discépolo,,"Rizzo 1st bando, Cinosi 1st violin (1968-77)",Alfredo De Angelis,Hugo Besnatti,"Osvaldo Rizzo, Alfredo Dafuncio, Carlos Cubría, Américo Pinelli ","Wenceslao Cinosi, Simón Broitman, Ángel Vilar, Germán Ojeda"
Alfredo De Angelis,Orquesta Alfredo De Angelis,10/25/1973,Yira... Yira...,Tango,Carlos Gardel,Odeón,Tape-S,Enrique Discépolo,Enrique Santos Discépolo,,"Rizzo 1st bando, Cinosi 1st violin (1968-77)",Alfredo De Angelis,Hugo Besnatti,"Osvaldo Rizzo, Alfredo Dafuncio, Carlos Cubría, Américo Pinelli ","Wenceslao Cinosi, Simón Broitman, Ángel Vilar, Germán Ojeda"
Alfredo De Angelis,Orquesta Alfredo De Angelis,11/8/1973,"Adiós, muchachos",Tango,Carlos Gardel,Odeón,Tape-S,Julio Sanders,César Felipe Vedani; Carol Raven,,"Rizzo 1st bando, Cinosi 1st violin (1968-77)",Alfredo De Angelis,Hugo Besnatti,"Osvaldo Rizzo, Alfredo Dafuncio, Carlos Cubría, Américo Pinelli ","Wenceslao Cinosi, Simón Broitman, Ángel Vilar, Germán Ojeda"
Alfredo De Angelis,Orquesta Alfredo De Angelis,11/8/1973,La cumparsita ,Tango,Carlos Gardel,Odeón,Tape-S,Gerardo Rodríguez,Pascual Contursi; Enrique Pedro Maroni,,"Rizzo 1st bando, Cinosi 1st violin (1968-77)",Alfredo De Angelis,Hugo Besnatti,"Osvaldo Rizzo, Alfredo Dafuncio, Carlos Cubría, Américo Pinelli ","Wenceslao Cinosi, Simón Broitman, Ángel Vilar, Germán Ojeda"
Alfredo De Angelis,Orquesta Alfredo De Angelis,11/13/1973,Alma en pena,Tango,Carlos Gardel,Odeón,Tape-S,Anselmo Aieta,Francisco García Jiménez,,"Rizzo 1st bando, Cinosi 1st violin (1968-77)",Alfredo De Angelis,Hugo Besnatti,"Osvaldo Rizzo, Alfredo Dafuncio, Carlos Cubría, Américo Pinelli ","Wenceslao Cinosi, Simón Broitman, Ángel Vilar, Germán Ojeda"
Alfredo De Angelis,Orquesta Alfredo De Angelis,11/13/1973,Nelly,Vals,Carlos Gardel,Odeón,Tape-S,Héctor Bates,Luis Jorge Bates,,"Rizzo 1st bando, Cinosi 1st violin (1968-77)",Alfredo De Angelis,Hugo Besnatti,"Osvaldo Rizzo, Alfredo Dafuncio, Carlos Cubría, Américo Pinelli ","Wenceslao Cinosi, Simón Broitman, Ángel Vilar, Germán Ojeda"
Alfredo De Angelis,Orquesta Alfredo De Angelis,11/27/1973,Palermo,Tango,Carlos Gardel,Odeón,Tape-S,Enrique Delfino,Juan Villalba; Hermido Braga (Domingo Herminio Bragagnolo),,"Rizzo 1st bando, Cinosi 1st violin (1968-77)",Alfredo De Angelis,Hugo Besnatti,"Osvaldo Rizzo, Alfredo Dafuncio, Carlos Cubría, Américo Pinelli ","Wenceslao Cinosi, Simón Broitman, Ángel Vilar, Germán Ojeda"
Alfredo De Angelis,Orquesta Alfredo De Angelis,11/27/1973,Siga el corso,Tango,Carlos Gardel,Odeón,Tape-S,Anselmo Aieta,Francisco García Jiménez,,"Rizzo 1st bando, Cinosi 1st violin (1968-77)",Alfredo De Angelis,Hugo Besnatti,"Osvaldo Rizzo, Alfredo Dafuncio, Carlos Cubría, Américo Pinelli ","Wenceslao Cinosi, Simón Broitman, Ángel Vilar, Germán Ojeda"
Alfredo De Angelis,Orquesta Alfredo De Angelis,11/30/1973,Duelo criollo,Tango,Carlos Gardel,Odeón,Tape-S,Juan Rezzano,Lito Bayardo (Manuel Juan García),,"Rizzo 1st bando, Cinosi 1st violin (1968-77)",Alfredo De Angelis,Hugo Besnatti,"Osvaldo Rizzo, Alfredo Dafuncio, Carlos Cubría, Américo Pinelli ","Wenceslao Cinosi, Simón Broitman, Ángel Vilar, Germán Ojeda"
