Bandleader,Orchestra,,Title,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneon,Strings
Edgardo Donato,Edgardo Donato y sus Muchachos,12/13/1930,Quejas De Acordeon,Tango,Luis Díaz,Brunswick,78rpm,R. Aieta,Jesús Blanco,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,1/10/1931,Mi Ki,Vals,Luis Díaz,Brunswick,78rpm,Carlos Dix ,Carlos Dix,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,1/15/1931,Vagabundo,Tango,Agustín Magaldi,Brunswick,78rpm,Agustín Magaldi; Pedro Noda,Emilio Magaldi,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,2/2/1931,Amargura,Vals,Luis Díaz,Brunswick,78rpm,A. Chianni; Hernando Scapparone; Lipschips,A. Chianni; Hernando Scapparone; Lipschips,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,2/2/1931,Felicitame Hermano,Tango,Luis Díaz Y Coro,Brunswick,78rpm,Edgardo Donato; Osavldo Donato,Héctor Gagliardi,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,2/11/1931,A Garufiar,Tango,Luis Díaz,Brunswick,78rpm,Adolfo Talleda,N. Candeloro,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,2/11/1931,Lunes Trece,Tango,Luis Díaz,Brunswick,78rpm,José Luis Padula,Francisco García Jiménez,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,2/18/1931,Hollín,Tango,Luis Díaz,Brunswick,78rpm,José María Rizzuti,Amadeo Canale,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,2/24/1931,Dulce Amiga,Tango,Antonio Rodríguez Lesende,Brunswick,78rpm,J. Criollo,Juan Sarcione (Juan Faustino Sarcione),,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,2/26/1931,Mano Brava,Tango,Antonio Rodríguez Lesende,Brunswick,78rpm,L. Lofiego; N. Yubone,L. Lofiego; N. Yubone,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
