Bandleader,Orchestra,,Title,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneon,Strings
Edgardo Donato,Edgardo Donato y sus Muchachos,11/29/1933,Qué Hacés! Qué Hacés!,Tango,Félix Gutiérrez,Victor,78rpm,José Di Clemente,Jesús Blanco,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,1/9/1934,Ésto Es El Colmo,Tango,Antonio Maida,Victor,78rpm,Vicente Vilardi,Alberto Maraviglia; Leopoldo Amoroso,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,2/9/1934,Ruego,Tango,Antonio Maida y Randona,Victor,78rpm,Ascanio Donato,Pascual Martínez,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,3/12/1934,Risas,Tango,Antonio Maida,Victor,78rpm,Edgardo Donato,Maximo Orsi,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,4/25/1934,Seguí La Caravana,Tango,Antonio Maida,Victor,78rpm,Osvaldo Donato,Celedonio Flores,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,6/5/1934,Amores Viejos,Tango,Antonio Maida,Victor,78rpm,Edgardo Donato,Mario Battistella,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,6/28/1934,Berretín,Tango,Antonio Maida,Victor,78rpm,Edgardo Donato,Máximo Orsi,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,6/28/1934,Riachuelo,Tango,Antonio Maida y Randona,Victor,78rpm,Edgardo Donato,Máximo Orsi,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,6/28/1934,Y Llegó El Amor,Vals,Antonio Maida,Victor,78rpm,Edgardo Donato,Máximo Orsi,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,8/9/1934,Una Luz En Tus Ojos,Vals,Antonio Maida y Randona,Victor,78rpm,Edgardo Donato,César Vedani,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,9/14/1934,Tierrita,Tango,Instrumental,Victor,78rpm,"Agustín Bardi, Jesús Blanco",,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,10/5/1934,Corrales Viejos,Milonga,Antonio Maida,Victor,78rpm,Anselmo Alfredo Aieta,Francisco Laino; Antonio Radicci,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,11/2/1934,"Quién Más, Quien Menos",Tango,Antonio Maida y Randona,Victor,78rpm,Enrique Discépolo,Enrique Discépolo,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,11/2/1934,Rosiclor,Vals,Antonio Maida,Victor,78rpm,Alcides Ayala,Manuel Campos,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,12/19/1934,"Si Te Perdés, Chiflame",Tango,Antonio Maida,Victor,78rpm,Osvaldo Donato,Sandalio Gómez,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,2/5/1935,La Caída De La Estantería,Tango,Hugo Del Carril,Victor,78rpm,Edgardo Donato,Luis Rubistein,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,2/8/1935,Congoja,Tango,Hugo Del Carril,Victor,78rpm,Edgardo Donato,Luis Rubistein,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,2/20/1935,Déjate Querer,Vals,Instrumental,Victor,78rpm,A González Castro,,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,2/20/1935,Madame Ivonne,Tango,Alberto Gómez y Hugo Del Carril,Victor,78rpm,Eduardo Pereyra,Enrique Domingo Cadícamo,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,3/21/1935,Rosa Poneme Una Ventosa,Tango,Hugo Del Carril y Randona,Victor,78rpm,Enrique Delfino,Manuel Romero,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,3/21/1935,Vos Y Yo,Vals,Hugo Del Carril,Victor,78rpm,Héctor Bates,Francisco García Jiménez,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,4/4/1935,El Vals De Los Recuerdos,Vals,Hugo Del Carril,Victor,78rpm,Francisco Pracánico,Homero Manzi,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,4/4/1935,Muchacho De Cafetín,Tango,Hugo Del Carril,Victor,78rpm,Francisco Pracánico,Homero Manzi,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,5/6/1935,La Cumparsita,Tango,Instrumental,Victor,78rpm,Gerardo Rodriguez,Pascual Contursi; Enrique Maroni; Gerardo Rodríguez,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,5/6/1935,Mi Tristeza,Tango,Hugo Del Carril,Victor,78rpm,Ángel Danesi,Ángel Danesi,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,6/13/1935,Diós Lo Sabe,Tango,Juan Alessio,Victor,78rpm,Antonio Polito,,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,6/13/1935,El Día Que Me Quieras,Tango,Juan Alessio,Victor,78rpm,Carlos Gardel,Alfredo Le Pera,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,7/3/1935,Picaflor,Tango,Juan Alessio,Victor,78rpm,Edgardo Donato,Maximo José Orsi,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,7/3/1935,Rosalinda,Vals,Juan Alessio,Victor,78rpm,Edgardo Donato,Maximo José Orsi,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,7/17/1935,"Hola, Qué Tal",Tango,Horacio Lagos,Victor,78rpm,Osvaldo Donato,Sandalio Gómez,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,8/9/1935,Lejana Tierra Mía,Tango,Horacio Lagos,Victor,78rpm,Carlos Gardel,Alfredo Le Pera,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,8/28/1935,El Zorzal,Tango,Horacio Lagos,Victor,78rpm,Alberto Soifer,Manuel Romero,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,10/11/1935,Hay Que Acomodarse,Tango,Horacio Lagos,Victor,78rpm,Edgardo Donato ,Antonio Botta,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,11/20/1935,Elegante Papirusa,Tango,Instrumental,Victor,78rpm,David Roccatagliata,Sandalio Gómez,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,1/17/1936,Chiqué,Tango,Instrumental,Victor,78rpm,Ricardo Brignolo,Ricardo Brignolo,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,3/10/1936,La Tapera,Vals,Félix Gutiérrez,Victor,78rpm,Osvaldo Donato,Sergio Sosa,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,3/10/1936,Mañana,Tango,Félix Gutiérrez,Victor,78rpm,Edgardo Donato,Ivo Pelay,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,5/7/1936,Pura Chispa,Tango,Félix Gutiérrez,Victor,78rpm,Edgardo Donato,Ivan Diez,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,5/7/1936,Secreto De Amor,Vals,Félix Gutiérrez,Victor,78rpm,Luis Ángel; José Vázquez,Luis César Amadori,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,6/10/1936,Belén,Tango,Instrumental,Victor,78rpm,Augusto Berto,,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,7/1/1936,Si Tú Supieras,Tango,Horacio Lagos y Randona,Victor,78rpm,Ascanio Donato,Sandalio Gómez,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,7/1/1936,Solo Un Recuerdo,Vals,Horacio Lagos,Victor,78rpm,Salvador Basirico,José Timpone,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,8/6/1936,La Tablada,Tango,Instrumental,Victor,78rpm,Francisco Canaro,,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,9/10/1936,Me Voy A Baraja,Tango,Horacio Lagos,Victor,78rpm,José Testa; Eduardo Banti,Epifanio Orozco,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,9/10/1936,Sombras Del Ayer,Vals,Horacio Lagos,Victor,78rpm,Emilio Brameri,Carlos Ortega (Manuel Martín Font),,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,10/7/1936,Se Va La Vida,Tango,Horacio Lagos,Victor,78rpm,Edgardo Donato; Roberto Zerrillo,Luis Mario (María Luisa Carnelli),,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,1/23/1937,No Te Cases,Tango,Horacio Lagos,Victor,78rpm,Edgardo Donato,Carlos Pesce,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,2/12/1937,Así Es El Tango,Tango,Horacio Lagos,Victor,78rpm,Edgardo Donato,Homero Manzi,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,2/12/1937,Gato,Tango,Horacio Lagos,Victor,78rpm,Edgardo Donato,Homero Manzi,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,7/16/1937,Hacete Cartel,Tango,Horacio Lagos,Victor,78rpm,Edgardo Donato,Antonio Botta,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,7/16/1937,María,Vals,Horacio Lagos,Victor,78rpm,Edgardo Donato,Carlos Pesce,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,11/29/1937,Papas Calientes,Tango,Instrumental,Victor,78rpm,Eduardo Arolas,Héctor Polito,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,11/29/1937,Virgencita,Vals,Horacio Lagos,Victor,78rpm,Federico Tolentino,Carmen Noriega,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,2/5/1938,El Estagiario,Tango,Instrumental,Victor,78rpm,Martín Álvarez,Martín Álvarez,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,2/5/1938,La Milonga Que Faltaba,Milonga,Horacio Lagos,Victor,78rpm,Edgardo Donato,Carlos Pesce,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,3/9/1938,Qué Será,Vals,Horacio Lagos,Victor,78rpm,Pepe Guízar,Pepe Guízar,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,3/9/1938,Sacale Punta,Milonga,Horacio Lagos,Victor,78rpm,Osvaldo Donato,Sandalio Gómez,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,4/2/1938,Con Tus Besos,Vals,Horacio Lagos,Victor,78rpm,Santiago Ricci,Domingo Rosa,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,4/2/1938,El Adiós,Tango,Horacio Lagos,Victor,78rpm,Maruja Huergo,Virgilio San Clemente,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,7/6/1938,Te Gané De Mano,Tango,Horacio Lagos y Randona,Victor,78rpm,Edgardo Donato,Juan Reyes,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,7/6/1938,Tiempos Bravos,Tango,Instrumental,Victor,78rpm,Salvador Grupillo,,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,8/29/1938,Cantando Bajito,Tango,Horacio Lagos,Victor,78rpm,Alfonso Lacueva,,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,8/29/1938,Vivo Sin Sombras Lejos De Tí,Vals,Horacio Lagos,Victor,78rpm,Edgardo Donato,Carlos Pesce,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,10/10/1938,El Chamuyo,Tango,Instrumental,Victor,78rpm,Francisco Canaro,,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,10/10/1938,Ella Es Así,Milonga,Horacio Lagos,Victor,78rpm,Luis Martino,Manuel Carretero,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,12/9/1938,Alas Rotas,Tango,Horacio Lagos,Victor,78rpm,Edgardo Donato,Maruja Pacheco Huergo,,34-42 / Bertolin Accordian ,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
