Bandleader,Orchestra,Date,Title,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,8/22/1944,El Arranque,Tango,Instrumental,Odeón,78rpm,Julio Caro,Mario Gomila,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Enrique Alessio,  Osvaldo Ruggiero, Esteban Gilardi, Alberto Armengol","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,8/22/1944,El Tango Es Una Historia,Tango,Roberto Chanel,Odeón,78rpm,Roberto Chanel,Reinaldo Yiso,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Enrique Alessio,  Osvaldo Ruggiero, Esteban Gilardi, Alberto Armengol","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,10/17/1944,Adiós Bardi,Tango,Instrumental,Odeón,78rpm,Osvaldo Pugliese,,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,10/17/1944,Corrientes Y Esmeralda,Tango,Roberto Chanel,Odeón,78rpm,Francisco Pracánico,Celedonio Flores,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,11/24/1944,Amurado,Tango,Instrumental,Odeón,78rpm,Pedro Maffia; Pedro Laurenz,José Grandis,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,11/24/1944,Nada Más Que Un Corazón,Tango,Roberto Chanel,Odeón,78rpm,Manuel Sucher,Carlos Bahr,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,12/21/1944,Mala Pinta,Tango,Instrumental,Odeón,78rpm,Francisco Caro; Julio Caro,,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,12/21/1944,Puentecito De Mi Río,Vals,Roberto Chanel,Odeón,78rpm,Antonio Tormo; Manuel Canales,Buenaventura Luna,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,1/25/1945,Raza Criolla,Tango,Instrumental,Odeón,78rpm,Salvador Grupillo,,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,1/25/1945,Yuyo Verde,Tango,Alberto Morán,Odeón,78rpm,Domingo Federico,Homero Expósito,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
