Orchestra,Date,Title,Genre,Singer,Label,Masters,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,,,
Miguel Caló,10/23/1936,Nostalgias,Tango,Alberto Morel,Odeón,78rpm,Juan Cobián,Enrique Cadícamo,,Calo First Bando (1934-38,Miguel Nijensohn,Alfredo Sciarretta,"Miguel Caló, Calixto Sallago, Américo Caggiano, Domingo Cuestas","Raúl Kaplún, Pedro Sapochnik, Pedro Pandolfi, Orestes Zungri",,,
Miguel Caló,12/21/1938,Dulce Amargura,Tango,Roberto Caló,Odeón,78rpm,Virgilio Clemente,Jorge Torres; Enrique Galperín,,Calo First Bando (1934-38,Miguel Nijensohn,Alfredo Sciarretta,"Miguel Caló, Calixto Sallago, Américo Caggiano, Domingo Cuestas","Raúl Kaplún, Pedro Sapochnik, Pedro Pandolfi, Orestes Zungri",,,
Miguel Caló,3/12/1941,Bajo Un Cielo De Estrellas,Vals,Alberto Podestá,Odeón,78rpm,Enrique Francini; Héctor Stamponi,José Contursi,,Orquesta de las Estrellas (1941-43,Osmar Maderna,Ariel Pedernera,"Domingo Federico, Armando Pontier, José Cambareri, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,3/12/1941,Yo Soy El Tango,Tango,Alberto Podestá,Odeón,78rpm,Domingo Federico,Homero Expósito,,Orquesta de las Estrellas (1941-43,Osmar Maderna,Ariel Pedernera,"Domingo Federico, Armando Pontier, José Cambareri, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,7/31/1941,Dos Fracasos,Tango,Alberto Podestá,Odeón,78rpm,Miguel Caló,Homero Expósito,,Orquesta de las Estrellas (1941-43,Osmar Maderna,Ariel Pedernera,"Domingo Federico, Armando Pontier, José Cambareri, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,4/29/1942,Al Compás Del Corazón,Tango,Raúl Berón,Odeón,78rpm,Domingo Federico,Homero Expósito,,Orquesta de las Estrellas (1941-43,Osmar Maderna,Ariel Pedernera,"Domingo Federico, Armando Pontier, José Cambareri, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,4/29/1942,El Vals Soñador,Vals,Raúl Berón,Odeón,78rpm,Armando Pontier,Oscar Rubens,,Orquesta de las Estrellas (1941-43,Osmar Maderna,Ariel Pedernera,"Domingo Federico, Armando Pontier, José Cambareri, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,6/30/1942,Qué Te Importa Que Te Llore,Tango,Raúl Berón,Odeón,78rpm,Miguel Caló,Osmar Maderna,,Orquesta de las Estrellas (1941-43,Osmar Maderna,Ariel Pedernera,"Domingo Federico, Armando Pontier, José Cambareri, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,6/30/1942,Trasnochando,Tango,Raúl Berón,Odeón,78rpm,Armando Baliotti,Santiago Adamini,,Orquesta de las Estrellas (1941-43,Osmar Maderna,Ariel Pedernera,"Domingo Federico, Armando Pontier, José Cambareri, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,7/29/1942,Lejos De Buenos Aires,Tango,Raúl Berón,Odeón,78rpm,Alberto Villanueva,Oscar Rubens,,Orquesta de las Estrellas (1941-43,Osmar Maderna,Ariel Pedernera,"Domingo Federico, Armando Pontier, José Cambareri, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,7/29/1942,Tarareando,Tango,Raúl Berón,Odeón,78rpm,Juan Guichandut,Oscar Rubistein,,Orquesta de las Estrellas (1941-43,Osmar Maderna,Ariel Pedernera,"Domingo Federico, Armando Pontier, José Cambareri, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,9/2/1942,Pedacito De Cielo,Vals,Alberto Podestá,Odeón,78rpm,Enrique Francini; Héctor Stamponi,Homero Expósito,,Orquesta de las Estrellas (1941-43,Osmar Maderna,Ariel Pedernera,"Domingo Federico, Armando Pontier, José Cambareri, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,9/2/1942,Tristezas De La Calle Corrientes,Tango,Raúl Berón,Odeón,78rpm,Domingo Federico,Homero Expósito,,Orquesta de las Estrellas (1941-43,Osmar Maderna,Ariel Pedernera,"Domingo Federico, Armando Pontier, José Cambareri, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,9/9/1942,Margarita Gauthier,Tango,Raúl Berón,Odeón,78rpm,Joaquín Mora,Julio Nelson,,Orquesta de las Estrellas (1941-43,Osmar Maderna,Ariel Pedernera,"Domingo Federico, Armando Pontier, José Cambareri, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,9/9/1942,Milonga Que Peina Canas,Milonga,Raúl Berón,Odeón,78rpm,Alberto Gómez,Alberto Adducci,,Orquesta de las Estrellas (1941-43,Osmar Maderna,Ariel Pedernera,"Domingo Federico, Armando Pontier, José Cambareri, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,9/29/1942,Azabache,Milonga,Raúl Berón,Odeón,78rpm,Enrique Francini; Héctor Stamponi,Homero Expósito,,Orquesta de las Estrellas (1941-43,Osmar Maderna,Ariel Pedernera,"Domingo Federico, Armando Pontier, José Cambareri, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,9/29/1942,Corazón No Le Hagas Caso,Tango,Raúl Berón,Odeón,78rpm,Armando Pontier,Carlos Bahr,,Orquesta de las Estrellas (1941-43,Osmar Maderna,Ariel Pedernera,"Domingo Federico, Armando Pontier, José Cambareri, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,10/9/1942,Jamás Retornarás,Tango,Raúl Berón,Odeón,78rpm,Miguel Caló; Osmar Maderna,Miguel Caló; Osmar Maderna,,Orquesta de las Estrellas (1941-43,Osmar Maderna,Ariel Pedernera,"Domingo Federico, Armando Pontier, José Cambareri, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,10/9/1942,Un Crimen,Tango,Raúl Berón,Odeón,78rpm,Luis Rubistein,Luis Rubistein,,Orquesta de las Estrellas (1941-43,Osmar Maderna,Ariel Pedernera,"Domingo Federico, Armando Pontier, José Cambareri, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,12/1/1942,Cuatro Compases,Tango,Raúl Berón,Odeón,78rpm,Atilio Bruni,Oscar Rubens,,Orquesta de las Estrellas (1941-43,Osmar Maderna,Ariel Pedernera,"Domingo Federico, Armando Pontier, José Cambareri, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
