Orchestra,Date,Title,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings
Juan D'Arienzo,9/13/1958,Un Vals Para Mamá,Vals,Mario Bustos,Víctor,Tape,Enrique Alessio),Reinaldo Ghiso,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,10/29/1958,Chirusa,Tango,Jorge Valdez,Víctor,Tape,Juan D'Arienzo,Nolo López,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,10/29/1958,Gerardo Matos Rodriguez,Tango,Mario Bustos,Víctor,Tape,Pablo Hechim,Raúl Rosales,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,10/29/1958,María Celosa,Vals,Jorge Valdez,Víctor,Tape,Atilio Bruni),Roberto Lambertucci,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,10/29/1958,Marinera,Tango,Jorge Valdez,Víctor,Tape,Pedro Laurenz,Carlos Marín,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,11/12/1958,Che Fulano,Tango,Mario Bustos,Víctor,Tape,Félix Villa),Mario Bustos; Reinaldo Yiso,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,11/12/1958,Justo Un Año,Tango,Mario Bustos,Víctor,Tape,Miguel Bucino,Miguel Bucino,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,11/12/1958,Sabras Quien Soy,Tango,Jorge Valdez,Víctor,Tape,Alberto Tavarozzi,Santiago Adamini,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,11/19/1958,Adíos Chantecler,Tango,Jorge Valdez,Víctor,Tape,Enrique Cadícamo,Enrique Cadícamo,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,11/19/1958,Moneda Sin Valor,Tango,Jorge Valdez,Víctor,Tape,Gerónimo Yorio,Ana Yanelli,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,11/19/1958,Si Alma Y Sin Dios,Tango,Jorge Valdez,Víctor,Tape,Miguel Ratto,Agustín Minotti,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
