Bandleader,Orchestra,Date,Title,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,8/14/1941,Noches De Colón,Tango,Alberto Castillo,Víctor,78rpm,Raúl Hoyos,Roberto Cayol,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,8/14/1941,Adiós Pueblo,Tango,Instrumental,Víctor,78rpm,Agustín Bardi,José Grandis,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,9/18/1941,Di Di,Tango,Instrumental,Víctor,78rpm,Roberto Firpo,,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,9/18/1941,Mi Morocha,Milonga,Alberto Castillo,Víctor,78rpm,Emilio Aguirre,Enrique Dizeo,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,11/27/1941,La Huella,Tango,Instrumental,Víctor,78rpm,Manuel Villanueva,Enrique Cadícamo,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,11/27/1941,El Moro,Tango,Alberto Castillo,Víctor,78rpm,Carlos Gardel; José Razzano,Carlos Gardel; José Razzano,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,12/23/1941,Recuerdo Malevo,Tango,Alberto Castillo,Víctor,78rpm,Carlos Gardel,Alfredo Pera,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,12/23/1941,Ese Sos Vos,Tango,Alberto Castillo,Víctor,78rpm,Ricardo Tanturi,Francisco Jiménez,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,3/18/1942,Al Compás De Un Tango,Tango,Alberto Castillo,Víctor,78rpm,Alberto Villanueva,Oscar Rubens,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,3/18/1942,Madame Ivonne,Tango,Alberto Castillo,Víctor,78rpm,Eduardo Pereyra,Enrique Cadícamo,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
